X,Year,Date,DOY,Temp_at40m,Station,Strafication
218,2013,5/16/13,135,4.1711,M110,No Stra
219,2013,5/29/13,148,5.2827,M110,No Stra
220,2013,6/18/13,168,5.5542,M110,Stra
221,2013,7/23/13,203,5.6912,M110,Stra
222,2013,8/6/13,217,5.2049,M110,Stra
223,2013,8/21/13,232,5.2685,M110,Stra
224,2013,9/6/13,248,5.0478,B,Stra
225,2013,9/12/13,254,6.005,M110,Stra
226,2013,10/30/13,302,6.2257,M110,Stra_low
227,2013,11/22/13,325,9.702,M110,No Stra
228,2013,12/3/13,336,7.381,M110,No Stra
229,2014,4/22/14,111,0.9168,M110,No Stra
230,2014,5/1/14,120,1.3859,M110,No Stra
231,2014,5/6/14,125,1.6023,M110,No Stra
232,2014,5/15/14,134,2.1207,M110,No Stra
233,2014,5/23/14,142,2.5283,M110,No Stra
234,2014,6/19/14,169,4.216,M110,Stra_low
235,2014,7/11/14,191,3.9634,M110,Stra
236,2014,8/6/14,217,3.9968,M110,Stra
237,2014,8/12/14,223,4.2064,M110,Stra
238,2014,9/3/14,245,3.9936,M110,Stra
239,2014,9/16/14,258,4.0713,M110,Stra
240,2014,9/19/14,261,4.2289,M110,Stra
241,2014,10/10/14,282,4.3664,M110,Stra
242,2014,11/6/14,309,9.0065,M110,No Stra
243,2014,12/5/14,338,5.7934,M110,No Stra
244,2015,3/25/15,83,0.9271,M110,No Stra
245,2015,4/7/15,96,1.3656,M110,No Stra
246,2015,4/15/15,104,1.4691,M110,No Stra
247,2015,4/28/15,117,1.8911,M110,No Stra
248,2015,5/12/15,131,2.5507,M110,No Stra
249,2015,5/15/15,134,2.7027,M110,No Stra
250,2015,5/21/15,140,3.1144,M110,No Stra
251,2015,5/27/15,146,3.3133,M110,No Stra
252,2015,6/2/15,152,3.6923,M110,No Stra
253,2015,6/16/15,166,4.6156,M110,Stra_low
254,2015,6/18/15,168,4.7152,M110,Stra_low
255,2015,8/4/15,215,4.5651,M110,Stra
256,2015,9/24/15,266,4.4295,M110,Stra
257,2015,10/8/15,280,4.8473,M110,Stra
258,2015,10/20/15,292,5.2308,M110,Stra
259,2015,11/3/15,306,11.0374,M110,No Stra
260,2015,12/7/15,340,8.5493,M110,No Stra
261,2016,3/12/16,70,3.1655,,No Stra
262,2016,3/31/16,89,2.9765,,No Stra
263,2016,4/7/16,96,2.7311,,No Stra
264,2016,4/17/16,106,3.3589,,No Stra
265,2016,4/30/16,119,3.8906,,No Stra
266,2016,5/13/16,132,4.4685,,No Stra
267,2016,5/26/16,145,5.103,,Stra_low
268,2016,6/2/16,152,5.017,,Stra
269,2016,6/15/16,165,4.9777,,Stra
270,2016,6/17/16,167,5.1308,,Stra
271,2016,7/21/16,201,5.6439,,Stra
272,2016,8/3/16,214,5.4629,,Stra
273,2016,8/5/16,216,5.3732,,Stra
274,2016,8/27/16,238,5.1082,,Stra
275,2016,9/22/16,264,5.0653,,Stra
276,2016,10/5/16,277,5.4694,,Stra
277,2016,10/8/16,280,5.9099,,Stra
278,2016,10/21/16,293,6.1801,,Stra
279,2016,11/4/16,307,10.5471,,No Stra
280,2016,12/7/16,340,9.0661,,No Stra
281,2017,3/20/17,79,0,Seasonal mean,
282,2017,4/3/17,93,2.9366,Seasonal mean,
283,2017,6/13/17,164,5.4999,Seasonal mean,
284,2017,7/5/17,186,5.6225,Seasonal mean,
285,2017,8/21/17,233,5.2547,Seasonal mean,
286,2017,9/11/17,254,6.005,Seasonal mean,
287,2017,10/5/17,278,6.1154,Seasonal mean,
288,2017,11/7/17,311,7.586,Seasonal mean,
289,2018,4/2/18,92,0.3362,Seasonal mean,
290,2018,5/4/18,124,1.559,Seasonal mean,
291,2018,6/11/18,162,3.7785,Seasonal mean,
292,2018,6/25/18,176,4.1357,Seasonal mean,
293,2018,7/9/18,190,3.9785,Seasonal mean,
294,2018,7/23/18,204,3.9801,Seasonal mean,
295,2018,8/2/18,214,3.993,Seasonal mean,
296,2018,8/13/18,225,4.1871,Seasonal mean,
297,2018,9/7/18,250,4.0235,Seasonal mean,
298,2018,9/24/18,267,4.2682,Seasonal mean,
299,2018,10/2/18,274,4.3206,Seasonal mean,
300,2018,11/1/18,305,8.3191,Seasonal mean,
301,2018,12/4/18,338,5.7934,Seasonal mean,
